text,read_code,read_term
Tetrachloroethylene poisoning,SM230,Tetrachloroethylene causing toxic effect
Trichloroethylene poisoning,SM231,Trichloroethylene causing toxic effect
Chloroform poisoning,SM232,Toxic effect of chloroform
Toxic effect of nitroglycol,SM24.,Nitroglycol causing toxic effect
Toxic effect of acetone,SM2y0,Acetone causing toxic effect
Toxic effect of dichloromethane,SM2y1,Toxic effect of dichloromethane
"Corrosives, acids and caustic alkalis causing toxic effect",SM3..,Corrosives/acids/caustic alkalis causing toxic effect
Toxic effect of corrosive aromatic,SM30.,Corrosive aromatics causing toxic effect
Poisoning by phenol,SM300,Phenol causing toxic effect
Toxic effect of cresol,SM301,Cresol causing toxic effect
Toxic effect of acid,SM31.,Acids causing toxic effect
Toxic effect of hydrochloric acid,SM310,Hydrochloric acid causing toxic effect
Toxic effect of nitric acid,SM311,Nitric acid causing toxic effect
Toxic effect of sulfuric acid,SM312,Sulphuric acid causing toxic effect
Toxic effect of caustic alkali,SM32.,Caustic alkalis causing toxic effect
Lye causing toxic effect,SM320,Lye causing toxic effect
Toxic effect of potassium hydroxide,SM321,Potassium hydroxide causing toxic effect
Toxic effect of sodium hydroxide,SM322,Sodium hydroxide causing toxic effect
Toxic effect of lead compound,SM4..,Lead and lead compounds causing toxic effect
Toxic effect of inorganic lead compound,SM40.,Inorganic lead compounds causing toxic effect
Toxic effect of lead dioxide,SM400,Lead dioxide causing toxic effect
Toxic effect of lead salt,SM401,Lead salts causing toxic effect
Toxic effect of organic lead compound,SM41.,Organic lead compounds causing toxic effect
Toxic effect of lead acetate,SM410,Lead acetate causing toxic effect
Toxic effect of tetraethyl lead,SM411,Tetraethyl lead causing toxic effect
Bismuth poisoning,SM5..,Other metals causing toxic effect
Aluminium intoxication,SM5..,Other metals causing toxic effect
Gold poisoning,SM5..,Other metals causing toxic effect
Toxic effect of heavy metal,SM5..,Other metals causing toxic effect
Silver poisoning,SM5..,Other metals causing toxic effect
Toxic effect of metal,SM5..,Other metals causing toxic effect
Thallium sulphate toxicity,SM5..,Other metals causing toxic effect
Metallosis,SM5..,Other metals causing toxic effect
Thallium poisoning,SM5..,Other metals causing toxic effect
Inorganic mercury poisoning,SM50.,Mercury causing toxic effect
Toxic effect of mercury and its compounds,SM50.,Mercury causing toxic effect
Acrodynia due to mercury,SM50.,Mercury causing toxic effect
Organic mercury poisoning,SM50.,Mercury causing toxic effect
Minamata disease,SM50.,Mercury causing toxic effect
Lewisite poisoning,SM51.,Arsenic causing toxic effect
Organic arsenic poisoning,SM51.,Arsenic causing toxic effect
Arsanilic acid poisoning,SM51.,Arsenic causing toxic effect
Pentavalent arsenic compound causing toxic effect,SM51.,Arsenic causing toxic effect
Arsine poisoning,SM51.,Arsenic causing toxic effect
Trivalent arsenic compound causing toxic effect,SM51.,Arsenic causing toxic effect
Inorganic arsenic poisoning,SM51.,Arsenic causing toxic effect
Toxic effect of arsenic and its compounds,SM51.,Arsenic causing toxic effect
Poisoning by manganese compound,SM52.,Manganese causing toxic effect
Toxic effect of manganese and its compounds,SM52.,Manganese causing toxic effect
Toxic effect of beryllium and its compounds,SM53.,Beryllium causing toxic effect
Poisoning by beryllium compound,SM53.,Beryllium causing toxic effect
Toxic effect of antimony and/or its compounds,SM54.,Antimony causing toxic effect
Toxic effect of chromium,SM56.,Chromium causing toxic effect
Toxic effect of tin and its compounds,SM57.,Toxic effect of tin and its compounds
Phosphate salt poisoning,SM58.,Toxic effect of phosphorus and its compounds
Methyl parathion poisoning,SM58.,Toxic effect of phosphorus and its compounds
Toxic effect of phosphorus and its compounds,SM58.,Toxic effect of phosphorus and its compounds
Poisoning by triorthocresyl phosphate,SM58.,Toxic effect of phosphorus and its compounds
Toxic effect of brass fumes,SM5y0,Brass fumes causing toxic effect
Toxic effect of copper salt,SM5y1,Copper salts causing toxic effect
Toxic effect of iron compound,SM5y2,Iron compounds causing toxic effect
Toxic effect of nickel compound,SM5y3,Nickel compounds causing toxic effect
Toxic effect of carbon monoxide,SM6..,Carbon monoxide causing toxic effect
Carboxyhaemoglobinaemia,SM6..,Carbon monoxide causing toxic effect
Carbon monoxide poisoning from motor vehicle exhaust,SM6..,Carbon monoxide causing toxic effect
Carbon monoxide poisoning from faulty furnace AND/OR heater,SM6..,Carbon monoxide causing toxic effect
Chronic carbon monoxide intoxication,SM6..,Carbon monoxide causing toxic effect
Carbon monoxide poisoning from fire,SM6..,Carbon monoxide causing toxic effect
"Toxic effect of gas, fumes AND/OR vapors",SM7..,"Other gases, fumes or vapours causing toxic effect"
Poisoning by fumes,SM7..,"Other gases, fumes or vapours causing toxic effect"
Poisoning by vapour,SM7..,"Other gases, fumes or vapours causing toxic effect"
Toxic effect of liquefied petroleum gas,SM70.,Liquefied petrol gas causing toxic effect
Toxic effect of butane,SM700,Butane causing toxic effect
Toxic effect of propane,SM701,Propane causing toxic effect
Toxic effect of hydrocarbon gas,SM71.,Other hydrocarbon gas causing toxic effect
Toxic effect of nitrogen oxide,SM72.,Nitrogen oxides causing toxic effect
Nitrogen dioxide poisoning,SM720,Nitrogen dioxide causing toxic effect
Toxic effect of nitrous fumes,SM721,Nitrous fumes causing toxic effects
Toxic effect of sulphur dioxide,SM73.,Sulphur dioxide causing toxic effect
Toxic effect of freon,SM74.,Freon causing toxic effect
Toxic effect of lacrimogenic gas,SM75.,Lacrimogenic gas causing toxic effect
Toxic effect of bromobenzyl cyanide,SM750,Bromobenzyl cyanide causing toxic effect
Toxic effect of chloroacetophenone,SM751,Chloroacetophenone causing toxic effect
Toxic effect of ethyliodoacetate,SM752,Ethyliodoacetate causing toxic effect
Toxic effect of chlorine gas,SM76.,Chlorine gas causing toxic effect
Toxic effect of hydrocyanic acid gas,SM77.,Hydrocyanic acid gas causing toxic effect
Toxic effect of fluorine gas and hydrogen fluoride,SM78.,Toxic effect of fluorine gas and hydrogen fluoride
Toxic effect of hydrogen sulphide,SM79.,Toxic effect of hydrogen sulfide
Toxic effect of carbon dioxide,SM7A.,Toxic effect of carbon dioxide
Toxic effect of phosgene,SM7y0,Phosgene causing toxic effect
Toxic effect of polyester fumes,SM7y1,Polyester fume causing toxic effect
Smoke inhalation injury,SM7z.,"Gases, fumes or vapours causing toxic effect NOS"
Rubbish poisoning,SM8..,Noxious substance eaten as food causing toxic effect
Toxic effect of noxious substance eaten as food,SM8..,Noxious substance eaten as food causing toxic effect
Amnesic shellfish poisoning,SM80.,Fish and shellfish causing toxic effect
Paralytic shellfish poisoning,SM80.,Fish and shellfish causing toxic effect
Shellfish poisoning due to Gonyaulax tamarensis,SM80.,Fish and shellfish causing toxic effect
Toxic effect from eating shellfish,SM80.,Fish and shellfish causing toxic effect
Poisoning by eating contaminated shellfish,SM80.,Fish and shellfish causing toxic effect
Seafood causing toxic effect,SM80.,Fish and shellfish causing toxic effect
Ciguatoxin causing toxic effect,SM800,Toxic effect of ciguatera fish poisoning
Scombroid fish poisoning,SM801,Toxic effect of scombroid fish poisoning
Amanita species poisoning,SM81.,Mushrooms causing toxic effect
Amanita pantherina poisoning,SM81.,Mushrooms causing toxic effect
Liberty cap causing toxic effect,SM81.,Mushrooms causing toxic effect
Toxic effect from eating mushrooms,SM81.,Mushrooms causing toxic effect
Amanita phalloides poisoning,SM81.,Mushrooms causing toxic effect
Amanita muscaria poisoning,SM81.,Mushrooms causing toxic effect
Berries - toxic effect,SM82.,Berries and other plants causing toxic effect
Toxic effect of cyanide,SM90.,Cyanides and hydrocyanic acid causing toxic effect
Toxic effect of hydrocyanic acid,SM90.,Cyanides and hydrocyanic acid causing toxic effect
Toxic effect of potassium cyanide,SM900,Potassium cyanide causing toxic effect
Toxic effect of sodium cyanide,SM901,Sodium cyanide causing toxic effect
Toxic effect of strychnine,SM91.,Strychnine and salts causing toxic effect
Poisoning by strychnine salt,SM91.,Strychnine and salts causing toxic effect
Chlorinated hydrocarbon toxicity,SM92.,Chlorinated hydrocarbon causing toxic effect
Tetrachlorodibenzodioxin poisoning,SM92.,Chlorinated hydrocarbon causing toxic effect
Polychlorinated biphenyl poisoning,SM92.,Chlorinated hydrocarbon causing toxic effect
Toxic effect of aldrin,SM920,Aldrin causing toxic effect
Toxic effect of chlordane,SM921,Chlordane causing toxic effect
Toxic effect of DDT,SM922,DDT causing toxic effect
Toxic effect of dieldrin,SM923,Dieldrin causing toxic effect
Organophosphate and carbamate causing toxic effect,SM93.,Organophosphate and carbamate causing toxic effect
Toxic effect of carbaryl,SM930,Carbaryl causing toxic effect
Toxic effect of dichlorvos,SM931,Dichlorvos causing toxic effect
Toxic effect of malathion,SM932,Malathion causing toxic effect
Toxic effect of parathion,SM933,Parathion causing toxic effect
Toxic effect of phorate,SM934,Phorate causing toxic effect
Mevinphos poisoning,SM935,Phosdrin causing toxic effect
Agrochemical or pesticide causing toxic effect,SM94.,Other pesticides causing toxic effect NEC
Poisoning due to reptile venom,SM95.,Venom causing toxic effect
Toxic effect of venom,SM95.,Venom causing toxic effect
Poisoning due to venom of back-fanged snake,SM950,Snake venom causing toxic effect
Poisoning due to boomslang venom,SM950,Snake venom causing toxic effect
Poisoning due to cobra family snake venom,SM950,Snake venom causing toxic effect
Poisoning by venomous snake,SM950,Snake venom causing toxic effect
Poisoning due to puff adder venom,SM950,Snake venom causing toxic effect
Poisoning due to European adder venom,SM950,Snake venom causing toxic effect
Poisoning due to pit viper venom,SM950,Snake venom causing toxic effect
Poisoning due to true viper venom,SM950,Snake venom causing toxic effect
Poisoning by Mexican beaded lizard bite,SM951,Lizard venom causing toxic effect
Poisoning by venomous lizard bite,SM951,Lizard venom causing toxic effect
Poisoning due to brown recluse spider venom,SM952,Spider venom causing toxic effect
Poisoning due to funnel web spider venom,SM952,Spider venom causing toxic effect
Poisoning due to venomous spider,SM952,Spider venom causing toxic effect
Tick paralysis,SM953,Tick paralysis causing toxic effect
Poisoning due to scorpion venom,SM954,Toxic effect of venom of scorpion
Poisoning by Centruroides exilicauda,SM954,Toxic effect of venom of scorpion
Insect-related poisoning,SM955,Insect venom causing toxic effect
Poisoning by sting AND/OR bite of fire ant,SM955,Insect venom causing toxic effect
Poisoning by Lophyrotoma interrupta,SM955,Insect venom causing toxic effect
Blister beetle poisoning,SM955,Insect venom causing toxic effect
Poisoning by sawfly larvae,SM955,Insect venom causing toxic effect
Poisoning by caterpillar,SM955,Insect venom causing toxic effect
Poisoning due to tick bite,SM956,Toxic effect of other arthropods
Poisoning due to arthropod venom,SM956,Toxic effect of other arthropods
Toxic effect of soap AND/OR detergent,SM96.,Soap and detergent causing toxic effect
Toxic effect of aflatoxin,SM97.,Aflatoxin and other mycotoxin causing toxic effect
Toxic effect of herbicides and fungicides,SM98.,Toxic effect of herbicides and fungicides
Non-anticoagulant rodenticide causing toxic effect,SM9A.,Toxic effect of rodenticides
Rodenticide poisoning,SM9A.,Toxic effect of rodenticides
Crimidine toxicity,SM9A.,Toxic effect of rodenticides
Anticoagulant rodenticide toxicity,SM9A.,Toxic effect of rodenticides
Alphachloralose causing toxic effect,SM9A.,Toxic effect of rodenticides
Alphanaphthylthiourea toxicity,SM9A.,Toxic effect of rodenticides
Pyriminil toxicity,SM9A.,Toxic effect of rodenticides
Exposure to poison of venomous animals and plants,SM9B.,Toxic effect of contact with other venomous animals
Toxic effect of contact with fish,SM9B0,Toxic effect of contact with fish
Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues,SM9C.,Tox effect nitroderivs & aminoderivs of benzene & homologues
Toxic effect of formaldehyde,SMB..,Toxic effect of formaldehyde
Toxic effect of tobacco and nicotine,SMC..,Toxic effect of tobacco and nicotine
Liquid paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Aerosol paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Solid paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Anticlimbing paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Antifouling paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Antigraffiti paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Blacking causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Special finish paint causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Frostbite of face,SN10.,Frostbite of face
Frostbite of hand,SN11.,Frostbite of hand
Frostbite of foot,SN12.,Frostbite of foot
Frostbite,SN13.,Frostbite of other sites
Immersion foot,SN14.,Immersion (trench) foot
Chilblains,SN15.,Chilblains
Pustular chilblain,SN15.,Chilblains
Hypothermia - accidental,SN16.,Hypothermia - accidental
Accidental hypothermia in elderly person,SN16.,Hypothermia - accidental
Superficial frostbite,SN17.,Superficial frostbite
Superficial frostbite of neck,SN170,Superficial frostbite of neck
Superficial frostbite of thorax,SN171,Superficial frostbite of thorax
"Superficial frostbite of abdominal wall, lower back and pelvis",SN172,Superfcial frostbite/abdominal wall lower back and pelvis
Superficial frostbite of upper limb,SN173,Superficial frostbite of arm
Superficial frostbite of hip and thigh,SN174,Superficial frostbite of hip and thigh
Superficial frostbite of knee and lower leg,SN175,Superficial frostbite of knee and lower leg
Superficial frostbite involving multiple body regions,SN176,Superficial frostbite involving multiple body regions
Frostbite with tissue necrosis,SN18.,Frostbite with tissue necrosis
Frostbite with tissue necrosis of head,SN180,Frostbite with tissue necrosis of head
Frostbite with tissue necrosis of neck,SN181,Frostbite with tissue necrosis of neck
Frostbite with tissue necrosis of thorax,SN182,Frostbite with tissue necrosis of thorax
"Frostbite with tissue necrosis of abdominal wall, lower back and pelvis",SN183,"Frostbite wth tissu necros/abdo wall,lower back and pelvis"
Frostbite with tissue necrosis of wrist and hand,SN185,Frostbite with tissue necrosis of wrist and hand
Frostbite with tissue necrosis of hip and thigh,SN186,Frostbite with tissue necrosis of hip and thigh
Frostbite with tissue necrosis of knee and lower leg,SN187,Frostbite with tissue necrosis of knee and lower leg
Frostbite with tissue necrosis of ankle and foot,SN188,Frostbite with tissue necrosis of ankle and foot
Frostbite with tissue necrosis involving multiple body regions,SN189,Frostbite with tissue necrosis involving multi body regions
Heat stroke and sunstroke,SN20.,Heat stroke and sunstroke
Heat stroke,SN200,"Heat stroke, unspecified"
Sunstroke,SN201,Sunstroke
Heat syncope,SN21.,Heat syncope or collapse
Heat cramp,SN22.,Heat cramps
Heat exhaustion due to salt depletion,SN24.,Heat exhaustion due to salt depletion
Heat exhaustion,SN25.,"Heat exhaustion, unspecified"
Transient heat fatigue,SN26.,"Heat fatigue, transient"
Heat edema,SN27.,Heat oedema
Otitic barotrauma,SN30.,"Barotrauma, otitic"
Barotitis interna,SN30.,"Barotrauma, otitic"
Sinus barotrauma,SN31.,"Barotrauma, sinuses"
Ebullism,SN32.,Other and unspecified high altitude effects
Suffocation by cave-in,SN473,Suffocation by cave-in
Anaphylaxis caused by bite and/or sting,SN50.,Anaphylactic shock
Allergic angioedema due to bite and/or sting,SN51.,Angioneurotic oedema
Allergic reaction to venom,SN59.,Allergic reaction to venom
Allergic reaction to insect venom,SN59.,Allergic reaction to venom
Mechanical complication of cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Mechanical complication of heart valve prosthesis,SP002,Mechanical complication of heart valve prosthesis
Mechanical complication of coronary bypass,SP003,Mechanical complication of coronary bypass
Mechanical complication of aortic graft,SP011,Mechanical complication of aortic graft
Mechanical complication of carotid artery bypass,SP012,Mechanical complication of carotid artery bypass
Mechanical complication of vena cava umbrella,SP013,Mechanical complication of vena cava umbrella
Mechanical complication of intra-aortic balloon,SP014,Mechanical complication of intra-aortic balloon
Misplacement of acute peritoneal dialysis catheter,SP015,Mechanical complication of dialysis catheter
